INDIA GARDEN RESTAURANT,Indian,70,80,80,80,75,74,74,77,72
KABUKI JAPANESE STEAK HOUSE,Japanese,50,80,50,50,58,59,58,59,60
ARBY'S ROASTBEEF RESTAURANT,American,60,80,50,50,58,59,58,59,60
BLACKSBURG FARMERS MARKET,Grocery,90,80,50,50,58,59,58,59,62
ABBY'S RESTAURANT & BAR,American,70,80,53,50,59,60,59,60,62
CAROL LEE DONUTS,Bakery,100,96,87,83,94,89,95,91,75
PANERA BREAD,Sandwiches,70,94,87,83,94,89,95,90,75
GILLIE'S CUISINE,Vegetarian,80,82,81,77,88,84,90,84,75
RED ROBIN GOURMET BURGERS,Burgers,70,82,81,77,88,84,89,83,75
POOR BILLY'S SEAFOOD RESTAURANT,Seafood,60,78,78,71,86,82,87,80,73
THE CELLAR RESTAURANT,Greek,70,75,78,72,77,75,80,76,71
FIREHOUSE PIZZA,Pizza,60,75,78,72,77,75,80,76,71
EL GUADALUPES,Mexican,80,76,78,72,81,79,83,78,72
PRESTON'S,American,50,76,78,72,81,79,83,78,72
JIMMY JOHNS GOURMET SANDWICHES,Sandwiches,70,75,77,71,80,78,81,77,72
AU BON PAIN,Coffee,80,76,78,72,80,78,81,77,72
BOUDREAUX'S RESTAURANT,Cajun,60,74,75,72,80,78,80,76,72
OUR DAILY BREAD CAFE AND BAKERY,Bakery,80,74,76,72,80,78,80,76,72
SHARKEY'S,Bars,60,74,74,71,79,77,79,76,71
FIREHOUSE SUBS,Sandwiches,80,74,74,71,79,77,79,76,71
ROMA'S PIZZA,Pizza,80,75,74,71,82,80,81,77,73
SAL'S ITALIAN RESTAURANT & PIZZERIA,Pizza,70,75,74,71,82,79,81,77,73
HOKIE HOUSE,American,60,75,74,71,82,79,81,77,72
CHAMPS SPORTS BAR & CAFE,Bars,70,75,75,71,81,79,81,77,72
BUD FOSTER'S RESTAURANT,American,70,74,74,70,80,78,79,76,71
KOBE JAPANESE EXPRESS,Japanese,80,74,74,73,79,77,78,76,71
MILL MOUNTAIN COFFEE & TEA,Coffee,70,73,73,73,79,77,78,75,71
DOUBLE DRAGON,Chinese,50,73,73,73,79,77,77,75,71
ATTITUDES BAR & CAFE,American,70,73,73,73,79,77,77,75,71
EXCELLENT TABLE,Ethiopian,80,73,73,73,79,77,77,75,71
CERITANO'S RISTORANTE,Pizza,70,74,73,72,79,77,77,75,71
CINCO DE MAYO,Mexican,40,74,73,72,79,77,77,75,71
NEXT DOOR BAKE SHOP,Bakery,90,75,75,74,80,78,78,77,72
CICI'S PIZZA,Pizza,50,75,75,74,80,78,78,77,71
ZEPPOLI'S,Bars,70,75,74,73,80,78,78,76,72
BOOKBINDER'S GRILL,Seafood,70,75,74,74,80,78,78,76,72
PK'S RESTAURANT & BAR,Pizza,60,75,73,74,80,78,78,76,72
BOLLO'S CAFE & BAKERY,Bakery,70,74,73,73,78,77,77,75,72
HOKKAIDO BUFFET,Chinese,70,74,74,73,78,77,78,76,72
SUB STATION II,Sandwiches,80,74,74,73,78,77,78,76,72
